idx,face_ID,face_A_same,face_B_same,face_A_diff,face_B_diff,score_same,score_diff
1,4,004_04_02_130_18.png,004_04_01_130_06.png,155_01_02_130_05.png,004_02_01_140_10.png,0.78571165,-0.019587416
2,4,004_02_02_051_05.png,004_04_01_130_06.png,155_01_01_140_03.png,004_02_02_051_05.png,0.7044802,-0.091774374
3,4,004_04_01_130_06.png,004_04_02_130_09.png,147_01_01_041_13.png,004_01_02_050_07.png,0.8211989,-0.14892513
4,4,004_01_02_050_07.png,004_02_01_140_05.png,007_01_02_050_12.png,004_01_01_051_12.png,0.6339985,0.13920075
5,4,004_04_01_050_18.png,004_01_01_050_14.png,147_01_02_140_13.png,004_04_01_130_06.png,0.8489387,-0.073617525
6,5,005_04_01_041_01.png,005_01_01_130_08.png,166_01_01_140_11.png,005_03_01_041_12.png,0.5564802,0.19548811
7,5,005_02_01_041_03.png,005_02_01_140_11.png,166_02_01_050_09.png,005_03_02_130_15.png,0.8190761,0.12342493
8,5,005_01_01_050_04.png,005_01_01_130_08.png,070_01_01_050_03.png,005_01_02_041_10.png,0.706254,0.21815087
9,5,005_04_02_041_19.png,005_04_01_050_07.png,090_03_02_130_07.png,005_01_02_051_10.png,0.633477,0.13594358
10,5,005_03_01_051_04.png,005_02_01_140_11.png,070_01_02_051_18.png,005_04_01_050_07.png,0.72797185,-0.023611411
11,7,007_01_02_041_06.png,007_01_02_050_14.png,004_01_01_050_14.png,007_01_02_041_16.png,0.79310143,0.12644458
12,7,007_01_02_051_19.png,007_01_02_050_12.png,147_04_02_130_00.png,007_01_02_140_07.png,0.76120055,0.06635627
13,7,007_01_02_041_19.png,007_01_01_051_12.png,147_01_01_050_07.png,007_01_02_041_16.png,0.709071,0.15160425
14,7,007_01_02_041_02.png,007_01_01_140_01.png,004_02_01_140_05.png,007_01_02_050_14.png,0.57932234,0.072698526
15,7,007_01_01_051_07.png,007_01_02_050_19.png,155_01_01_140_17.png,007_01_02_041_02.png,0.6622757,0.044015497
16,10,010_01_01_051_01.png,010_01_02_041_02.png,079_03_01_051_06.png,010_01_01_051_01.png,0.5870309,8.38E-05
17,10,010_01_01_051_14.png,010_02_02_140_07.png,076_02_01_130_09.png,010_01_02_050_19.png,0.5613498,0.25135976
18,10,010_03_01_140_04.png,010_04_01_050_06.png,051_03_02_050_18.png,010_04_02_050_16.png,0.77383876,0.20411056
19,10,010_04_02_050_03.png,010_03_01_050_14.png,079_04_02_130_17.png,010_04_01_050_04.png,0.7708933,0.008213548
20,10,010_04_01_050_04.png,010_04_02_050_16.png,242_01_01_130_03.png,010_02_01_041_07.png,0.8113935,0.26271144
21,16,016_04_02_140_15.png,016_03_02_051_17.png,092_01_02_140_07.png,016_03_02_130_16.png,0.8258203,0.2651039
22,16,016_03_02_140_19.png,016_01_02_041_01.png,129_02_01_130_07.png,016_04_02_050_02.png,0.7171407,0.14849214
23,16,016_01_02_140_16.png,016_04_02_130_11.png,148_01_02_140_07.png,016_04_02_041_18.png,0.64793295,-0.070384115
24,16,016_03_01_050_16.png,016_03_02_140_19.png,092_01_02_140_07.png,016_04_02_130_11.png,0.66616535,0.24170443
25,16,016_03_02_051_17.png,016_04_01_051_17.png,148_01_01_051_03.png,016_04_01_051_17.png,0.8173934,0.13065559
26,51,051_01_02_050_04.png,051_01_01_130_02.png,079_04_01_050_06.png,051_04_01_140_10.png,0.6256624,-0.10481948
27,51,051_03_02_050_18.png,051_01_01_050_18.png,242_01_01_041_08.png,051_01_01_130_02.png,0.68303144,0.15423845
28,51,051_01_01_050_18.png,051_01_02_050_01.png,076_02_01_041_04.png,051_03_02_051_02.png,0.566774,0.113400094
29,51,051_04_01_140_10.png,051_04_01_050_07.png,079_02_02_140_10.png,051_03_02_050_18.png,0.8167614,-0.11513764
30,51,051_04_01_140_10.png,051_01_02_050_04.png,076_03_01_130_02.png,051_04_01_130_11.png,0.66923213,0.2607844
31,57,057_02_01_041_07.png,057_02_01_050_03.png,005_01_01_050_04.png,057_01_01_050_19.png,0.74485314,-0.077043295
32,57,057_02_01_041_01.png,057_02_02_050_03.png,070_04_01_041_08.png,057_03_01_050_13.png,0.63470566,-0.074572876
